epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.22692,2.16051,2.62714,1.72969,0.53088,0.36946,0.41225,0.14286,2.06174,2.11487,1.47577,0.000661538,0.000661538,0.000661538
2,9.62147,2.22473,2.18099,1.82935,0.52941,0.63054,0.47887,0.11462,2.54098,2.33904,1.84559,0.00131067,0.00131067,0.00131067
3,13.7397,2.28173,2.1128,1.92089,0.57441,0.53695,0.54379,0.18937,2.19187,1.79169,1.5366,0.00194221,0.00194221,0.00194221
4,17.8083,2.23393,2.01958,1.84722,0.70082,0.70443,0.68277,0.21369,2.09491,1.60527,1.53216,0.0019208,0.0019208,0.0019208
5,21.8596,2.13008,1.92798,1.81748,0.72212,0.62069,0.65582,0.20611,2.29586,1.80683,1.73898,0.0018944,0.0018944,0.0018944
6,25.9363,2.13875,1.89516,1.81174,0.65317,0.6601,0.60865,0.14487,2.66408,1.62138,1.90858,0.001868,0.001868,0.001868
7,29.9661,2.06402,1.82847,1.77824,0.73309,0.71429,0.73567,0.22443,2.18916,1.53409,1.5937,0.0018416,0.0018416,0.0018416
8,34.0451,2.06436,1.77213,1.76292,0.74718,0.77833,0.75012,0.21882,2.33815,1.35279,1.61393,0.0018152,0.0018152,0.0018152
9,38.1231,2.02162,1.7734,1.73747,0.81241,0.84236,0.84917,0.28704,2.14315,1.36513,1.51872,0.0017888,0.0017888,0.0017888
10,42.2408,1.9928,1.71656,1.72233,0.79177,0.86164,0.85123,0.31966,1.93787,1.28509,1.40917,0.0017624,0.0017624,0.0017624
11,46.3093,1.95987,1.74764,1.71028,0.87368,0.83744,0.90174,0.39215,1.70647,1.17229,1.37832,0.001736,0.001736,0.001736
12,50.3788,1.92886,1.67312,1.71007,0.78866,0.87685,0.9085,0.33796,2.01092,1.17531,1.47251,0.0017096,0.0017096,0.0017096
13,54.5466,1.93704,1.68659,1.69559,0.74849,0.82759,0.85411,0.25126,2.34302,1.27909,1.57829,0.0016832,0.0016832,0.0016832
14,59.0209,1.91147,1.65775,1.66291,0.84207,0.86675,0.88897,0.41702,1.73212,1.09502,1.34072,0.0016568,0.0016568,0.0016568
15,63.3306,1.89987,1.63947,1.66654,0.80455,0.79086,0.8318,0.27349,2.37857,1.35608,1.68009,0.0016304,0.0016304,0.0016304
16,67.6746,1.87488,1.63553,1.64942,0.82518,0.83251,0.88158,0.32877,2.04649,1.17705,1.45875,0.001604,0.001604,0.001604
17,71.9971,1.85816,1.62642,1.63234,0.58214,0.70688,0.65069,0.18868,2.41656,1.521,1.70994,0.0015776,0.0015776,0.0015776
18,76.3755,1.87016,1.59854,1.66013,0.76876,0.83523,0.83578,0.32758,2.06846,1.23071,1.50232,0.0015512,0.0015512,0.0015512
19,80.6947,1.81359,1.60086,1.62174,0.66827,0.84729,0.78491,0.25971,2.17973,1.27176,1.55608,0.0015248,0.0015248,0.0015248
20,84.8743,1.84801,1.60751,1.63868,0.59068,0.86727,0.74177,0.2486,2.22605,1.27664,1.65601,0.0014984,0.0014984,0.0014984
21,89.0654,1.81468,1.55716,1.61599,0.77088,0.83744,0.81132,0.36506,1.78138,1.18665,1.35631,0.001472,0.001472,0.001472
22,93.2731,1.79318,1.54037,1.59213,0.7122,0.80788,0.84848,0.37307,1.82993,1.13691,1.39237,0.0014456,0.0014456,0.0014456
23,97.6255,1.81398,1.51454,1.60177,0.79983,0.87192,0.88181,0.47375,1.51544,0.99441,1.26296,0.0014192,0.0014192,0.0014192
