epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,151.827,0.65336,0.40711,0.94022,0.98529,0.98983,0.98928,0.89616,0.45916,0.32591,0.85014,0.00999645,0.00999645,0.00999645
14,163.49,0.65423,0.4099,0.938,0.97996,0.99015,0.98551,0.87753,0.50207,0.37275,0.87766,0.00999583,0.00999583,0.00999583
15,175.184,0.64542,0.39596,0.92916,0.98008,0.99015,0.99276,0.89961,0.47358,0.31952,0.83672,0.00999517,0.00999517,0.00999517
16,186.67,0.63393,0.39475,0.92509,0.98025,0.99015,0.98041,0.88401,0.47715,0.33201,0.85881,0.00999445,0.00999445,0.00999445
17,198.49,0.63376,0.39789,0.9279,0.97921,0.99015,0.98746,0.90472,0.46096,0.32815,0.84506,0.00999369,0.00999369,0.00999369
18,210.228,0.6288,0.39638,0.93232,0.98006,0.99015,0.98813,0.88163,0.49255,0.34319,0.85559,0.00999287,0.00999287,0.00999287
19,221.693,0.63413,0.39229,0.9274,0.98527,0.98882,0.98951,0.90226,0.49237,0.32229,0.84866,0.00999201,0.00999201,0.00999201
20,233.166,0.62435,0.38526,0.9262,0.98011,0.99015,0.987,0.89383,0.46828,0.33306,0.85983,0.0099911,0.0099911,0.0099911
21,244.636,0.63393,0.38975,0.93091,0.98145,0.9803,0.98514,0.88348,0.46004,0.33438,0.8403,0.00999013,0.00999013,0.00999013
22,256.104,0.62161,0.39245,0.92905,0.97934,0.99015,0.98983,0.8885,0.48337,0.31017,0.85379,0.00998912,0.00998912,0.00998912
23,267.585,0.62915,0.38916,0.9252,0.9844,0.99015,0.98878,0.89102,0.4464,0.31042,0.84192,0.00998806,0.00998806,0.00998806
24,279.048,0.61284,0.37364,0.92264,0.9852,0.98393,0.98799,0.881,0.47548,0.33769,0.8441,0.00998695,0.00998695,0.00998695
25,290.501,0.62582,0.38491,0.93496,0.98005,0.99015,0.98732,0.88044,0.48317,0.3245,0.8656,0.0099858,0.0099858,0.0099858
26,301.966,0.63612,0.38387,0.93487,0.98033,0.99015,0.99096,0.91318,0.43801,0.30932,0.82294,0.00998459,0.00998459,0.00998459
27,313.431,0.6374,0.39259,0.93661,0.98048,0.98959,0.98654,0.88699,0.45115,0.30785,0.82672,0.00998333,0.00998333,0.00998333
28,324.924,0.61914,0.38582,0.92668,0.98522,0.98509,0.98474,0.89796,0.44828,0.30998,0.8186,0.00998203,0.00998203,0.00998203
29,336.389,0.62364,0.38185,0.92625,0.98341,0.9803,0.98538,0.89299,0.47293,0.33359,0.8395,0.00998067,0.00998067,0.00998067
30,347.868,0.61803,0.38714,0.92364,0.98039,0.985,0.98653,0.88515,0.47714,0.32638,0.8573,0.00997927,0.00997927,0.00997927
31,359.352,0.60976,0.3717,0.92839,0.98442,0.98522,0.98638,0.90375,0.4724,0.313,0.83556,0.00997781,0.00997781,0.00997781
32,370.802,0.6101,0.38085,0.92037,0.98017,0.99015,0.99113,0.89397,0.48273,0.31713,0.83957,0.00997631,0.00997631,0.00997631
33,382.277,0.62599,0.37402,0.92585,0.98016,0.99015,0.9902,0.88662,0.51613,0.3364,0.84858,0.00997476,0.00997476,0.00997476
34,393.818,0.61078,0.37569,0.92335,0.97493,0.99015,0.99291,0.9168,0.44223,0.29885,0.82256,0.00997316,0.00997316,0.00997316
35,405.275,0.60588,0.37659,0.92244,0.9849,0.99015,0.99019,0.89135,0.48202,0.33029,0.84311,0.00997151,0.00997151,0.00997151
36,416.768,0.61749,0.38424,0.92345,0.98021,0.99015,0.99112,0.89654,0.46888,0.30642,0.82844,0.00996981,0.00996981,0.00996981
37,428.233,0.61061,0.37151,0.92334,0.97981,0.99015,0.98583,0.89035,0.45978,0.31055,0.8319,0.00996806,0.00996806,0.00996806
38,439.713,0.60199,0.37089,0.91932,0.97451,0.99015,0.99094,0.90176,0.4614,0.29893,0.82615,0.00996626,0.00996626,0.00996626
39,451.22,0.6006,0.3649,0.91208,0.98449,0.99015,0.9882,0.89326,0.46277,0.32148,0.84308,0.00996442,0.00996442,0.00996442
40,462.686,0.60839,0.3767,0.92167,0.98527,0.98866,0.98582,0.89332,0.4599,0.3113,0.82633,0.00996252,0.00996252,0.00996252
41,474.27,0.60564,0.37095,0.92489,0.98038,0.99015,0.98978,0.90199,0.46532,0.30995,0.85086,0.00996058,0.00996058,0.00996058
42,486.023,0.61565,0.3756,0.92782,0.98048,0.98951,0.99089,0.88781,0.47873,0.29332,0.82963,0.00995858,0.00995858,0.00995858
43,497.691,0.604,0.36967,0.91387,0.98047,0.99015,0.98813,0.89658,0.48449,0.33334,0.88218,0.00995654,0.00995654,0.00995654
44,509.21,0.60587,0.36995,0.92141,0.97957,0.98522,0.98922,0.89779,0.45568,0.31089,0.84548,0.00995445,0.00995445,0.00995445
45,520.815,0.61258,0.37511,0.9253,0.97549,0.99015,0.98599,0.89643,0.44215,0.31395,0.84215,0.00995231,0.00995231,0.00995231
46,532.29,0.60353,0.3701,0.91778,0.98387,0.98522,0.98928,0.90392,0.46208,0.3061,0.86648,0.00995012,0.00995012,0.00995012
47,543.844,0.60857,0.36935,0.92963,0.97992,0.98522,0.98866,0.90959,0.44277,0.3101,0.82963,0.00994789,0.00994789,0.00994789
48,555.292,0.58605,0.35787,0.9136,0.98012,0.99015,0.98703,0.9022,0.46359,0.32159,0.84139,0.0099456,0.0099456,0.0099456
49,566.739,0.6029,0.36755,0.92062,0.98046,0.99015,0.98568,0.90652,0.43286,0.30374,0.81831,0.00994326,0.00994326,0.00994326
50,578.197,0.58963,0.36395,0.91359,0.97993,0.99015,0.98719,0.90421,0.45979,0.32588,0.86013,0.00994088,0.00994088,0.00994088
51,589.804,0.59262,0.36142,0.91812,0.98049,0.99004,0.98621,0.90085,0.46623,0.32036,0.86736,0.00993845,0.00993845,0.00993845
52,601.436,0.60669,0.36259,0.92568,0.98048,0.98998,0.98651,0.89742,0.46539,0.31726,0.86831,0.00993597,0.00993597,0.00993597
53,613.002,0.59718,0.36604,0.91699,0.98004,0.99015,0.99093,0.89977,0.47203,0.30905,0.85724,0.00993344,0.00993344,0.00993344
54,624.549,0.59309,0.36209,0.91585,0.97996,0.99015,0.98866,0.89047,0.45337,0.31383,0.87623,0.00993086,0.00993086,0.00993086
55,636.095,0.59685,0.36624,0.92067,0.98023,0.99015,0.98905,0.88502,0.46777,0.29362,0.8237,0.00992823,0.00992823,0.00992823
56,647.669,0.59357,0.3597,0.91208,0.98023,0.99015,0.98292,0.88814,0.45465,0.29803,0.81725,0.00992555,0.00992555,0.00992555
57,659.217,0.59637,0.3641,0.91783,0.97984,0.98522,0.98512,0.89444,0.45453,0.30132,0.82946,0.00992283,0.00992283,0.00992283
58,670.768,0.59534,0.36679,0.92073,0.97468,0.99015,0.98974,0.904,0.4239,0.31517,0.82648,0.00992006,0.00992006,0.00992006
59,682.337,0.59004,0.36293,0.91475,0.98045,0.98833,0.98972,0.90122,0.44983,0.32878,0.83089,0.00991723,0.00991723,0.00991723
60,693.873,0.57569,0.35378,0.90984,0.98522,0.98489,0.99055,0.90878,0.4369,0.29257,0.82335,0.00991436,0.00991436,0.00991436
61,705.413,0.59365,0.36451,0.92199,0.98205,0.99015,0.98847,0.90101,0.47286,0.31025,0.83524,0.00991145,0.00991145,0.00991145
62,716.971,0.59125,0.365,0.91832,0.98049,0.99004,0.99038,0.90499,0.45613,0.30775,0.85112,0.00990848,0.00990848,0.00990848
63,728.519,0.58633,0.36008,0.91658,0.98044,0.99015,0.98849,0.90506,0.44253,0.29856,0.8243,0.00990546,0.00990546,0.00990546
64,740.044,0.58663,0.35814,0.9131,0.98004,0.99015,0.98951,0.90643,0.45497,0.29041,0.83077,0.0099024,0.0099024,0.0099024
65,751.607,0.59209,0.35914,0.91625,0.98049,0.99009,0.99012,0.88861,0.47446,0.30385,0.85597,0.00989929,0.00989929,0.00989929
66,763.154,0.58927,0.36174,0.90679,0.97955,0.99015,0.9873,0.902,0.45803,0.31021,0.85648,0.00989612,0.00989612,0.00989612
67,774.699,0.58221,0.35969,0.90764,0.98048,0.98977,0.99009,0.90825,0.45544,0.29425,0.82034,0.00989292,0.00989292,0.00989292
68,786.257,0.60301,0.36189,0.91789,0.98529,0.98969,0.98941,0.91147,0.43953,0.27587,0.81393,0.00988966,0.00988966,0.00988966
69,797.822,0.58436,0.35621,0.9181,0.9852,0.98384,0.98776,0.90018,0.43706,0.30605,0.83098,0.00988635,0.00988635,0.00988635
70,809.482,0.58951,0.35472,0.9149,0.98048,0.98961,0.98899,0.91039,0.45184,0.32307,0.83892,0.009883,0.009883,0.009883
71,820.894,0.5916,0.35269,0.91408,0.97993,0.98522,0.98567,0.8981,0.47509,0.32895,0.87136,0.0098796,0.0098796,0.0098796
72,832.289,0.58823,0.36211,0.91482,0.98045,0.98806,0.98403,0.90421,0.44539,0.31019,0.83831,0.00987615,0.00987615,0.00987615
73,843.707,0.57428,0.35054,0.90844,0.98027,0.99015,0.98848,0.90321,0.45442,0.30167,0.83523,0.00987265,0.00987265,0.00987265
74,855.179,0.58315,0.35959,0.91391,0.97513,0.99015,0.98631,0.89704,0.43042,0.30941,0.82663,0.0098691,0.0098691,0.0098691
75,866.589,0.5789,0.35436,0.90822,0.97945,0.99015,0.9868,0.89446,0.45833,0.29409,0.82946,0.00986551,0.00986551,0.00986551
76,877.994,0.58766,0.35694,0.91546,0.98013,0.99015,0.99066,0.90064,0.43328,0.29682,0.82927,0.00986186,0.00986186,0.00986186
77,889.435,0.58842,0.35741,0.91753,0.98047,0.98945,0.98992,0.89547,0.45008,0.32133,0.83227,0.00985817,0.00985817,0.00985817
78,900.843,0.57398,0.35138,0.90989,0.98048,0.98992,0.98769,0.90407,0.43694,0.31382,0.8393,0.00985443,0.00985443,0.00985443
79,912.258,0.58468,0.35759,0.9112,0.98017,0.99015,0.99025,0.90814,0.43199,0.28191,0.81967,0.00985065,0.00985065,0.00985065
80,923.675,0.57477,0.35439,0.90948,0.97534,0.99015,0.98639,0.89754,0.46401,0.30215,0.82438,0.00984681,0.00984681,0.00984681
81,935.072,0.58689,0.36134,0.91396,0.97524,0.99015,0.99094,0.91574,0.44483,0.29353,0.81855,0.00984293,0.00984293,0.00984293
82,946.464,0.56737,0.34341,0.90448,0.97999,0.98522,0.98723,0.91057,0.41317,0.28073,0.8239,0.009839,0.009839,0.009839
83,957.922,0.58074,0.35185,0.9128,0.97528,0.99015,0.99043,0.91023,0.43944,0.29893,0.82198,0.00983502,0.00983502,0.00983502
84,969.389,0.58109,0.35539,0.90736,0.98002,0.99015,0.98636,0.90083,0.43275,0.2902,0.8262,0.009831,0.009831,0.009831
85,980.937,0.57768,0.35037,0.91352,0.97998,0.99015,0.98997,0.91213,0.43097,0.30496,0.8183,0.00982693,0.00982693,0.00982693
86,992.501,0.57855,0.35866,0.90842,0.98453,0.98522,0.98886,0.91191,0.41445,0.27025,0.81209,0.0098228,0.0098228,0.0098228
87,1004.11,0.57612,0.35278,0.90955,0.9788,0.99015,0.98792,0.91129,0.44213,0.30703,0.83617,0.00981864,0.00981864,0.00981864
88,1015.53,0.57185,0.35031,0.90584,0.98039,0.98507,0.98746,0.90045,0.43344,0.28446,0.82194,0.00981442,0.00981442,0.00981442
89,1026.91,0.56429,0.34541,0.8966,0.98445,0.99015,0.98948,0.90997,0.42743,0.28278,0.80996,0.00981016,0.00981016,0.00981016
90,1038.26,0.57937,0.34833,0.91392,0.97999,0.99015,0.98762,0.90961,0.42796,0.28535,0.82544,0.00980585,0.00980585,0.00980585
91,1049.89,0.57288,0.35095,0.90793,0.98039,0.98508,0.99039,0.90345,0.43468,0.30269,0.84585,0.00980149,0.00980149,0.00980149
92,1061.63,0.57578,0.34949,0.91814,0.98037,0.99015,0.99139,0.9227,0.42397,0.28423,0.8144,0.00979708,0.00979708,0.00979708
93,1073.55,0.57107,0.34565,0.90768,0.9754,0.99015,0.99144,0.91724,0.40656,0.27927,0.81932,0.00979263,0.00979263,0.00979263
94,1085.4,0.57472,0.34691,0.90503,0.97573,0.99006,0.99029,0.91933,0.41109,0.27549,0.82458,0.00978813,0.00978813,0.00978813
95,1097.34,0.57283,0.3497,0.91265,0.97557,0.99015,0.98892,0.90711,0.43741,0.29299,0.83514,0.00978358,0.00978358,0.00978358
96,1108.87,0.56607,0.33847,0.90951,0.98048,0.98985,0.98667,0.903,0.42066,0.29251,0.84691,0.00977899,0.00977899,0.00977899
97,1120.36,0.57558,0.35199,0.90936,0.97539,0.99015,0.98701,0.91508,0.43103,0.29259,0.83257,0.00977435,0.00977435,0.00977435
98,1131.85,0.58126,0.34996,0.9112,0.97551,0.99015,0.98717,0.89972,0.45078,0.29414,0.83077,0.00976966,0.00976966,0.00976966
99,1143.33,0.57848,0.35515,0.91158,0.97572,0.98978,0.98949,0.90477,0.44183,0.29116,0.84459,0.00976492,0.00976492,0.00976492
100,1154.81,0.57516,0.34306,0.9026,0.9754,0.99015,0.99222,0.91381,0.43725,0.30032,0.84676,0.00976014,0.00976014,0.00976014
101,1166.28,0.56092,0.34137,0.90254,0.9756,0.98479,0.99023,0.90331,0.44702,0.30201,0.84041,0.00975531,0.00975531,0.00975531
102,1177.75,0.56789,0.34306,0.90799,0.98048,0.98971,0.99015,0.90634,0.43245,0.29623,0.83004,0.00975043,0.00975043,0.00975043
103,1189.23,0.56217,0.34387,0.90705,0.98305,0.99015,0.98626,0.92145,0.42544,0.2795,0.81666,0.00974551,0.00974551,0.00974551
104,1200.68,0.56895,0.34247,0.90808,0.98441,0.98522,0.98901,0.9073,0.43642,0.28694,0.83725,0.00974054,0.00974054,0.00974054
105,1212.13,0.572,0.35195,0.90991,0.97531,0.99015,0.98824,0.91106,0.43277,0.28747,0.82077,0.00973552,0.00973552,0.00973552
106,1223.59,0.58087,0.35289,0.91066,0.97493,0.98522,0.98587,0.90089,0.42374,0.28507,0.82855,0.00973045,0.00973045,0.00973045
107,1235.05,0.56447,0.34636,0.9123,0.98376,0.9803,0.99061,0.91237,0.4397,0.30061,0.83759,0.00972534,0.00972534,0.00972534
108,1246.51,0.56976,0.34616,0.90767,0.98038,0.98444,0.98827,0.91177,0.4412,0.30112,0.82655,0.00972019,0.00972019,0.00972019
109,1257.97,0.58262,0.3465,0.9171,0.98038,0.98438,0.98955,0.91169,0.42491,0.28496,0.83174,0.00971498,0.00971498,0.00971498
110,1269.44,0.55748,0.34148,0.89675,0.97941,0.99015,0.98843,0.91284,0.39737,0.27413,0.81004,0.00970973,0.00970973,0.00970973
111,1280.89,0.56579,0.34267,0.90783,0.9852,0.98377,0.9896,0.91399,0.42228,0.26955,0.81878,0.00970443,0.00970443,0.00970443
112,1292.35,0.57609,0.34889,0.91667,0.98261,0.9803,0.98864,0.90601,0.44279,0.3023,0.82712,0.00969909,0.00969909,0.00969909
113,1303.85,0.56923,0.34911,0.90561,0.97573,0.99004,0.99007,0.90281,0.43804,0.29191,0.82108,0.0096937,0.0096937,0.0096937
114,1315.41,0.56748,0.34373,0.90559,0.97543,0.99015,0.98861,0.916,0.41466,0.30969,0.84961,0.00968826,0.00968826,0.00968826
115,1326.98,0.56765,0.33535,0.90369,0.98214,0.98522,0.99077,0.91847,0.40677,0.29455,0.82132,0.00968278,0.00968278,0.00968278
116,1338.72,0.5735,0.34749,0.90747,0.97994,0.98522,0.9904,0.91711,0.42468,0.28659,0.82562,0.00967725,0.00967725,0.00967725
117,1350.25,0.5818,0.34772,0.9154,0.97566,0.99015,0.98789,0.90442,0.43128,0.29446,0.83539,0.00967168,0.00967168,0.00967168
118,1361.77,0.57301,0.34544,0.91098,0.98521,0.98464,0.98628,0.91078,0.42639,0.29488,0.84975,0.00966606,0.00966606,0.00966606
119,1373.21,0.56523,0.34386,0.91153,0.98333,0.9803,0.98389,0.902,0.42464,0.3082,0.84261,0.00966039,0.00966039,0.00966039
120,1384.71,0.55897,0.33903,0.90407,0.98459,0.98522,0.98506,0.9019,0.43065,0.29748,0.84381,0.00965468,0.00965468,0.00965468
121,1396.31,0.56667,0.34518,0.9061,0.98042,0.99015,0.98723,0.91402,0.43048,0.29879,0.85059,0.00964892,0.00964892,0.00964892
122,1407.76,0.56278,0.34155,0.90094,0.98383,0.9803,0.98684,0.90674,0.42223,0.29148,0.8269,0.00964311,0.00964311,0.00964311
123,1419.3,0.55975,0.34047,0.90419,0.98039,0.98495,0.98721,0.90817,0.43183,0.29145,0.83551,0.00963726,0.00963726,0.00963726
124,1430.77,0.55463,0.34168,0.90328,0.9841,0.9803,0.98858,0.91659,0.426,0.28152,0.82587,0.00963137,0.00963137,0.00963137
125,1442.27,0.56602,0.339,0.901,0.97572,0.98962,0.98774,0.91606,0.43989,0.29651,0.82961,0.00962542,0.00962542,0.00962542
126,1453.77,0.56563,0.33914,0.91274,0.98356,0.9803,0.98839,0.91247,0.44116,0.3091,0.84248,0.00961944,0.00961944,0.00961944
127,1465.28,0.56173,0.33398,0.90974,0.98008,0.99015,0.98771,0.90888,0.42693,0.29271,0.8551,0.0096134,0.0096134,0.0096134
128,1476.73,0.55525,0.33041,0.90439,0.98355,0.9803,0.98622,0.91716,0.43176,0.29223,0.83026,0.00960732,0.00960732,0.00960732
129,1488.21,0.55829,0.34022,0.89836,0.98046,0.98885,0.98413,0.90664,0.43649,0.28015,0.82113,0.0096012,0.0096012,0.0096012
130,1499.69,0.55764,0.33822,0.9032,0.98039,0.98487,0.98693,0.90928,0.42981,0.28001,0.82936,0.00959503,0.00959503,0.00959503
131,1511.17,0.55839,0.33652,0.90353,0.98038,0.98481,0.98811,0.90883,0.4346,0.29707,0.82949,0.00958881,0.00958881,0.00958881
132,1522.63,0.55148,0.33654,0.90273,0.98522,0.98496,0.98991,0.91181,0.42686,0.28115,0.82526,0.00958255,0.00958255,0.00958255
133,1534.11,0.55139,0.33941,0.90437,0.98449,0.99015,0.98691,0.90822,0.43355,0.30078,0.84,0.00957625,0.00957625,0.00957625
134,1545.6,0.55962,0.33847,0.9064,0.98521,0.9843,0.98885,0.91067,0.42712,0.27272,0.82106,0.0095699,0.0095699,0.0095699
135,1557.09,0.55302,0.33464,0.90206,0.98016,0.98522,0.98753,0.90672,0.42449,0.28408,0.82157,0.0095635,0.0095635,0.0095635
136,1568.56,0.56043,0.34214,0.89939,0.98048,0.9897,0.98835,0.91434,0.43662,0.29178,0.82781,0.00955706,0.00955706,0.00955706
137,1580.05,0.55444,0.33718,0.90377,0.98038,0.98522,0.98717,0.91673,0.41943,0.27359,0.81663,0.00955057,0.00955057,0.00955057
138,1591.5,0.56132,0.34281,0.89933,0.98034,0.98522,0.98885,0.91006,0.41417,0.26516,0.80759,0.00954404,0.00954404,0.00954404
139,1602.98,0.55853,0.33429,0.89868,0.97959,0.9803,0.98768,0.90755,0.41038,0.26295,0.81173,0.00953747,0.00953747,0.00953747
140,1614.45,0.56779,0.34341,0.90814,0.98038,0.98485,0.9898,0.91393,0.41145,0.26497,0.81061,0.00953085,0.00953085,0.00953085
141,1625.93,0.55449,0.33939,0.90209,0.97984,0.9803,0.98632,0.91496,0.40413,0.28756,0.82022,0.00952418,0.00952418,0.00952418
142,1637.38,0.55835,0.33585,0.90292,0.97995,0.9803,0.98587,0.91425,0.4038,0.28313,0.81898,0.00951747,0.00951747,0.00951747
143,1648.84,0.55865,0.33977,0.89775,0.97992,0.9803,0.98521,0.91852,0.41271,0.2877,0.81596,0.00951072,0.00951072,0.00951072
144,1660.32,0.54697,0.33158,0.89905,0.97572,0.98972,0.98859,0.92319,0.41774,0.28501,0.83467,0.00950392,0.00950392,0.00950392
145,1671.8,0.54893,0.33332,0.90227,0.98036,0.9803,0.98804,0.91905,0.41598,0.28822,0.84298,0.00949708,0.00949708,0.00949708
146,1683.27,0.54688,0.33059,0.89665,0.98192,0.9803,0.98815,0.91691,0.41542,0.27342,0.82002,0.00949019,0.00949019,0.00949019
147,1694.76,0.55038,0.33277,0.90117,0.9801,0.9803,0.98823,0.92126,0.42621,0.29115,0.83151,0.00948326,0.00948326,0.00948326
148,1706.23,0.5564,0.33504,0.90309,0.97571,0.9893,0.99013,0.93013,0.4101,0.27129,0.82138,0.00947628,0.00947628,0.00947628
149,1717.75,0.55619,0.34306,0.90436,0.98448,0.9803,0.98925,0.92605,0.42262,0.27564,0.81771,0.00946926,0.00946926,0.00946926
150,1729.22,0.54169,0.33012,0.89546,0.97572,0.98991,0.98759,0.92385,0.40751,0.27193,0.82551,0.0094622,0.0094622,0.0094622
151,1740.71,0.5474,0.33954,0.90034,0.98315,0.9803,0.99069,0.91894,0.40787,0.27966,0.84661,0.00945509,0.00945509,0.00945509
152,1752.16,0.5576,0.34116,0.90515,0.98048,0.98973,0.99184,0.92304,0.41671,0.2615,0.813,0.00944793,0.00944793,0.00944793
153,1763.65,0.56028,0.34395,0.89949,0.98416,0.9803,0.98915,0.92327,0.41631,0.2587,0.81777,0.00944074,0.00944074,0.00944074
154,1775.13,0.55651,0.33862,0.9022,0.97572,0.98978,0.9878,0.91404,0.42564,0.29271,0.84488,0.0094335,0.0094335,0.0094335
155,1786.6,0.55969,0.33966,0.90651,0.9852,0.98375,0.98832,0.91519,0.40956,0.29598,0.83575,0.00942621,0.00942621,0.00942621
156,1798.09,0.54915,0.3337,0.90095,0.98283,0.98522,0.98623,0.91972,0.41821,0.28641,0.83509,0.00941889,0.00941889,0.00941889
157,1809.58,0.55117,0.33005,0.90204,0.98003,0.98522,0.98653,0.9166,0.42536,0.29082,0.8355,0.00941151,0.00941151,0.00941151
158,1821.03,0.56119,0.33956,0.90522,0.98046,0.99015,0.98715,0.91471,0.42814,0.3,0.84997,0.0094041,0.0094041,0.0094041
159,1832.51,0.55446,0.33758,0.903,0.98526,0.98766,0.98813,0.91049,0.4442,0.29682,0.87966,0.00939664,0.00939664,0.00939664
160,1843.96,0.5433,0.32597,0.89626,0.97572,0.98983,0.99099,0.92581,0.40314,0.28247,0.83257,0.00938914,0.00938914,0.00938914
161,1855.46,0.55314,0.33731,0.90087,0.97972,0.98522,0.98923,0.91821,0.41734,0.28552,0.83805,0.0093816,0.0093816,0.0093816
162,1866.94,0.54348,0.33086,0.89926,0.98522,0.985,0.9882,0.91106,0.43204,0.2883,0.85503,0.00937401,0.00937401,0.00937401
163,1878.54,0.54724,0.33469,0.90439,0.98048,0.98955,0.99115,0.91927,0.43496,0.28835,0.86124,0.00936638,0.00936638,0.00936638
164,1890.22,0.54034,0.32653,0.89793,0.98045,0.98825,0.99086,0.91786,0.4173,0.28035,0.85439,0.0093587,0.0093587,0.0093587
165,1901.95,0.54501,0.32737,0.89772,0.97444,0.99015,0.99021,0.91504,0.43261,0.29417,0.85321,0.00935098,0.00935098,0.00935098
166,1913.55,0.55127,0.32796,0.90169,0.9753,0.99015,0.98678,0.91602,0.43003,0.29226,0.85771,0.00934322,0.00934322,0.00934322
167,1925.1,0.54938,0.33421,0.90292,0.98048,0.98998,0.98908,0.91702,0.42081,0.27627,0.85061,0.00933542,0.00933542,0.00933542
168,1936.57,0.55212,0.34158,0.90093,0.97538,0.99015,0.98777,0.91358,0.42088,0.28143,0.84136,0.00932757,0.00932757,0.00932757
169,1948.05,0.55364,0.33731,0.90189,0.98469,0.98522,0.98691,0.92284,0.41425,0.27472,0.82347,0.00931969,0.00931969,0.00931969
170,1959.53,0.54007,0.32944,0.89956,0.97572,0.9896,0.98377,0.91628,0.42152,0.27865,0.82987,0.00931175,0.00931175,0.00931175
171,1971.01,0.55861,0.33619,0.90348,0.97505,0.99015,0.98583,0.91179,0.42069,0.28725,0.82627,0.00930378,0.00930378,0.00930378
172,1982.67,0.55202,0.32975,0.90241,0.97571,0.98926,0.98983,0.9235,0.4283,0.29859,0.84231,0.00929576,0.00929576,0.00929576
173,1994.23,0.55352,0.32854,0.89755,0.97506,0.98522,0.9887,0.92573,0.40486,0.28586,0.85006,0.0092877,0.0092877,0.0092877
174,2005.98,0.5384,0.32495,0.89505,0.97572,0.98975,0.98871,0.91639,0.42415,0.28734,0.82645,0.0092796,0.0092796,0.0092796
175,2017.78,0.54595,0.32646,0.89529,0.97658,0.99015,0.98669,0.91976,0.42391,0.28665,0.81868,0.00927146,0.00927146,0.00927146
176,2029.38,0.53731,0.3285,0.89265,0.97572,0.98983,0.98611,0.91264,0.4267,0.28539,0.81769,0.00926327,0.00926327,0.00926327
177,2041.21,0.54687,0.32974,0.89696,0.9753,0.99015,0.98828,0.91576,0.41868,0.2815,0.82224,0.00925505,0.00925505,0.00925505
178,2053.01,0.53952,0.32531,0.89373,0.98038,0.98464,0.98686,0.91307,0.4233,0.2836,0.8177,0.00924678,0.00924678,0.00924678
179,2064.8,0.54578,0.33009,0.89659,0.9845,0.9803,0.98646,0.91242,0.4272,0.28596,0.82473,0.00923847,0.00923847,0.00923847
180,2076.66,0.55377,0.33182,0.9013,0.97517,0.98522,0.98771,0.91414,0.41868,0.28068,0.81796,0.00923011,0.00923011,0.00923011
181,2088.49,0.5428,0.32913,0.89511,0.98017,0.98522,0.98938,0.91177,0.43389,0.2796,0.82332,0.00922172,0.00922172,0.00922172
182,2100.29,0.53991,0.32291,0.89443,0.97572,0.98965,0.98716,0.91001,0.42209,0.28384,0.82396,0.00921328,0.00921328,0.00921328
183,2112.24,0.55111,0.33248,0.90609,0.97518,0.99015,0.98661,0.91476,0.42165,0.28266,0.82527,0.0092048,0.0092048,0.0092048
184,2123.99,0.55995,0.33749,0.90699,0.98046,0.9886,0.98704,0.91172,0.41847,0.28424,0.82098,0.00919628,0.00919628,0.00919628
185,2135.76,0.53069,0.31986,0.89385,0.98404,0.9803,0.98655,0.91372,0.40449,0.27572,0.81638,0.00918772,0.00918772,0.00918772
