epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.95,1.15024,2.03913,1.18284,0.98527,0.98883,0.99162,0.86507,0.58834,0.42347,0.96463,0.00196923,0.00196923,0.00196923
2,23.6829,0.7232,0.49783,0.97341,0.98922,0.99015,0.98849,0.87026,0.52707,0.38096,0.89797,0.00396922,0.00396922,0.00396922
3,35.4175,0.6652,0.44011,0.94354,0.97935,0.99015,0.98949,0.88568,0.48609,0.35823,0.86942,0.00596917,0.00596917,0.00596917
4,47.0353,0.65523,0.42218,0.94173,0.98039,0.98513,0.98975,0.865,0.55453,0.36358,0.89202,0.00796905,0.00796905,0.00796905
5,58.7858,0.66755,0.43024,0.94032,0.98043,0.98725,0.98454,0.86118,0.50793,0.35376,0.84418,0.00996884,0.00996884,0.00996884
6,70.5969,0.69792,0.44665,0.9497,0.98422,0.99015,0.99014,0.86243,0.538,0.3642,0.86806,0.00999938,0.00999938,0.00999938
7,82.0984,0.68934,0.43843,0.94683,0.9849,0.99015,0.98707,0.87868,0.49364,0.33666,0.84,0.00999911,0.00999911,0.00999911
8,93.6367,0.69184,0.4312,0.95189,0.97713,0.99015,0.98775,0.88309,0.49318,0.36588,0.86752,0.00999879,0.00999879,0.00999879
9,105.051,0.67324,0.41748,0.9454,0.98324,0.99015,0.99139,0.88284,0.4994,0.3448,0.85776,0.00999842,0.00999842,0.00999842
10,116.771,0.67178,0.42136,0.9407,0.98312,0.98522,0.98511,0.89092,0.47737,0.3393,0.84538,0.009998,0.009998,0.009998
11,128.479,0.66032,0.42006,0.9375,0.97986,0.99015,0.98634,0.87146,0.50234,0.33174,0.85469,0.00999753,0.00999753,0.00999753
12,140.18,0.6565,0.41327,0.93739,0.98038,0.99015,0.98922,0.90258,0.46872,0.31174,0.84333,0.00999702,0.00999702,0.00999702
