epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3451.77,1.68442,1.41824,1.59212,0.57196,0.84915,0.75708,0.26356,2.19921,1.22116,1.59207,0.0009176,0.0009176,0.0009176
43,3529.07,1.64262,1.4305,1.55064,0.66346,0.92259,0.89328,0.37828,1.91216,1.09907,1.42985,0.0008912,0.0008912,0.0008912
44,3607.1,1.65121,1.43157,1.5662,0.67938,0.929,0.88591,0.43806,1.75808,1.03152,1.37029,0.0008648,0.0008648,0.0008648
45,3685.16,1.64654,1.40916,1.54595,0.8033,0.74877,0.89136,0.39951,1.84314,1.11496,1.4286,0.0008384,0.0008384,0.0008384
46,3762.68,1.63805,1.42453,1.55573,0.67716,0.92992,0.87681,0.39399,1.89324,1.07192,1.4395,0.000812,0.000812,0.000812
47,3840.04,1.61146,1.40406,1.54131,0.6491,0.93859,0.8777,0.36297,1.9699,1.15919,1.47685,0.0007856,0.0007856,0.0007856
48,3917.72,1.61045,1.39899,1.51892,0.66249,0.94089,0.84509,0.37581,1.83624,1.10833,1.4722,0.0007592,0.0007592,0.0007592
49,3994.88,1.6059,1.41799,1.53418,0.61416,0.93596,0.81019,0.35672,1.78056,1.16537,1.39357,0.0007328,0.0007328,0.0007328
50,4072.36,1.6053,1.39995,1.52923,0.67203,0.96901,0.83046,0.35838,1.8902,1.07276,1.44096,0.0007064,0.0007064,0.0007064
51,4149.59,1.62801,1.39876,1.53,0.62047,0.94581,0.81754,0.3408,2.04375,1.13046,1.53766,0.00068,0.00068,0.00068
52,4226.96,1.60351,1.37484,1.50861,0.76618,0.7931,0.8643,0.428,1.69875,1.06634,1.35546,0.0006536,0.0006536,0.0006536
53,4304.68,1.58794,1.36119,1.50933,0.65357,0.94581,0.79936,0.34951,1.87029,1.12669,1.424,0.0006272,0.0006272,0.0006272
54,4381.82,1.61368,1.38523,1.5425,0.62698,0.94089,0.86303,0.37029,1.96943,1.10693,1.46934,0.0006008,0.0006008,0.0006008
55,4458.57,1.60433,1.40687,1.52835,0.80317,0.80407,0.91097,0.52657,1.45983,0.9407,1.23642,0.0005744,0.0005744,0.0005744
