epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9137,1.09645,2.6898,1.12417,0.95316,0.40102,0.93966,0.80504,0.56899,2.53735,0.81772,0.00196923,0.00196923,0.00196923
2,23.7727,0.92917,1.41445,1.0255,0.98366,0.99015,0.98303,0.83928,0.54678,1.27398,0.83434,0.00396922,0.00396922,0.00396922
3,35.1723,0.92657,1.13113,1.01718,0.97804,0.9803,0.97768,0.82471,0.57708,0.81451,0.83719,0.00596917,0.00596917,0.00596917
4,45.9505,0.92741,0.98215,1.02253,0.97068,0.98522,0.97838,0.82162,0.576,0.85289,0.85165,0.00796905,0.00796905,0.00796905
5,57.7344,0.98104,0.93841,1.0478,0.90185,0.94089,0.96585,0.75643,0.82734,1.24606,0.96641,0.00996884,0.00996884,0.00996884
6,69.4363,1.02317,0.90008,1.06248,0.9293,0.96059,0.97142,0.77079,0.75497,0.89108,0.92635,0.00999938,0.00999938,0.00999938
7,81.122,0.99067,0.81722,1.06445,0.9616,0.99015,0.98799,0.78496,0.73959,0.67365,0.93577,0.00999911,0.00999911,0.00999911
8,92.6119,0.96947,0.75515,1.05109,0.96096,0.96994,0.97969,0.75314,0.80338,0.9607,0.96323,0.00999879,0.00999879,0.00999879
9,104.252,0.95086,0.73424,1.04981,0.92808,0.95074,0.97412,0.78618,0.71058,0.97721,0.9805,0.00999842,0.00999842,0.00999842
10,115.875,0.92529,0.69416,1.04044,0.97975,0.99015,0.98595,0.81842,0.60982,0.50872,0.88067,0.009998,0.009998,0.009998
11,127.458,0.90495,0.67048,1.03287,0.9749,0.98522,0.98645,0.79815,0.75703,0.57883,0.9576,0.00999753,0.00999753,0.00999753
12,139.162,0.89933,0.6526,1.03304,0.97097,0.98849,0.98111,0.81568,0.64473,0.51219,0.90859,0.00999702,0.00999702,0.00999702
13,150.737,0.87852,0.64545,1.02913,0.96879,0.9803,0.97578,0.80436,0.67703,0.51055,0.90628,0.00999645,0.00999645,0.00999645
14,162.19,0.87639,0.63274,1.02907,0.96155,0.98558,0.98988,0.83759,0.65654,0.52793,0.92927,0.00999583,0.00999583,0.00999583
15,173.694,0.8537,0.6125,1.01318,0.97068,0.97852,0.98973,0.84914,0.56971,0.46929,0.87495,0.00999517,0.00999517,0.00999517
16,185.202,0.84216,0.60113,1.00481,0.98042,0.98681,0.98769,0.84885,0.57519,0.42752,0.88043,0.00999445,0.00999445,0.00999445
17,196.707,0.83814,0.58636,1.01068,0.97686,0.98522,0.9863,0.84312,0.64789,0.46802,0.92164,0.00999369,0.00999369,0.00999369
18,208.185,0.83377,0.59256,1.01426,0.98455,0.99015,0.99302,0.83446,0.59714,0.53446,0.87038,0.00999287,0.00999287,0.00999287
